WorksPlace;WorkYear;OnTerritoryOfMoscow;AdmArea;District;WorksBeginDate;PlannedEndDate;ActualBeginDate;ActualEndDate;WorksType;WorksStatus;WorkReason;Customer;Contractor;global_id;geoData;geodata_center
Место проведения;Год проведения работ;Объект расположен в пределах границ города Москвы;Административный округ;Район;Плановая дата начала выполнения работ;Плановая дата окончания работ;Фактическая дата начала выполнения работ;Фактическая дата окончания работ;Тип работ;Статус работ;Основание проведения работ;Заказчик;Подрядчик;global_id;geoData;geodata_center
Туристская улица (местный проезд);2024;да;Северо-Западный административный округ;район Северное Тушино;15.04.2024;31.10.2024;18.04.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643823876;{coordinates=[[[37.421059012, 55.857974237], [37.421016097, 55.857914021], [37.421010733, 55.857844774], [37.421118021, 55.857540685], [37.421600819, 55.85613763], [37.422319651, 55.853984776], [37.42398262, 55.849165262]], [[37.422247231, 55.851587139], [37.423113585, 55.851685004]], [[37.421461344, 55.85391251], [37.422325015, 55.853999831]], [[37.421085835, 55.855032613], [37.421949506, 55.855122943]], [[37.420935631, 55.855451138], [37.421799302, 55.855544478]]], type=MultiLineString};{coordinates=[37.422319651, 55.853984776], type=Point}
2-й Гостиничный проезд;2024;да;Северо-Восточный административный округ;район Марфино;15.04.2024;31.10.2024;13.05.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643824191;{coordinates=[[[37.576020956, 55.845202002], [37.576031685, 55.845202002], [37.579100132, 55.845485106], [37.57958293, 55.845497153], [37.580097914, 55.845515223]], [[37.58077383, 55.845533293], [37.580784559, 55.845533293], [37.584249973, 55.845593528]]], type=MultiLineString};{coordinates=[37.57958293, 55.845497153], type=Point}
Туристская улица;2024;да;Северо-Западный административный округ;[район Северное Тушино, район Южное Тушино];15.04.2024;31.10.2024;07.05.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643824194;{coordinates=[[[37.421573997, 55.862201113], [37.421429157, 55.862092737], [37.421461344, 55.862195092], [37.421429157, 55.862080695], [37.42126286, 55.861915121], [37.420635223, 55.860984879], [37.419937849, 55.859919138], [37.419691086, 55.859536789], [37.419626713, 55.859338087], [37.419605255, 55.859130351], [37.419701815, 55.858663694], [37.419894934, 55.858212086]], [[37.420026362, 55.857908753], [37.420302629, 55.857210249], [37.420358956, 55.85703261], [37.420887351, 55.855451138], [37.421472073, 55.853774], [37.422072887, 55.851991397], [37.422523499, 55.850669448], [37.423081398, 55.849034264]], [[37.423129678, 55.848835508], [37.423381805, 55.847965184], [37.423923612, 55.846456375], [37.424460053, 55.844926426], [37.424658537, 55.844372257]]], type=MultiLineString};{coordinates=[37.421472073, 55.853774], type=Point}
Технические проезды № 5, 6;2024;да;Северо-Западный административный округ;район Куркино;15.04.2024;31.10.2024;07.05.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643824764;{coordinates=[[[37.386635542, 55.900825303], [37.391109467, 55.900338095], [37.391710281, 55.902052319]], [[37.391098738, 55.900350125], [37.391141653, 55.900211781], [37.391291857, 55.899977197], [37.392675877, 55.898154607]]], type=MultiLineString};{coordinates=[37.391109467, 55.900338095], type=Point}
Строительный проезд;2024;да;Северо-Западный административный округ;район Южное Тушино;15.04.2024;31.10.2024;25.04.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643824888;{coordinates=[[[37.413007021, 55.836039182], [37.414326668, 55.836231979], [37.413532734, 55.836370551], [37.413983345, 55.836298253], [37.413768768, 55.836521173]], [[37.41430521, 55.836238004], [37.423081398, 55.837834566], [37.41845727, 55.836992614], [37.418881059, 55.836920316], [37.418972254, 55.836923329], [37.419041991, 55.836941403]], [[37.419047356, 55.836947428], [37.41905272, 55.837001651], [37.41900444, 55.837082985]], [[37.423065305, 55.837830048], [37.427367568, 55.838604206], [37.427544594, 55.838601194], [37.428848147, 55.838149352], [37.429266572, 55.838119229], [37.430918813, 55.838022836], [37.434314489, 55.837869208], [37.434673905, 55.837875233], [37.43518889, 55.837941503], [37.435441017, 55.837974639], [37.435752153, 55.837947528], [37.436165214, 55.837905356], [37.436529994, 55.837824023], [37.436717749, 55.837787875], [37.436921597, 55.83774269], [37.437130809, 55.837715579], [37.43799448, 55.83765232]]], type=MultiLineString};{coordinates=[37.423081398, 55.837834566], type=Point}
Гостиничный проезд;2024;да;Северо-Восточный административный округ;район Марфино;15.04.2024;31.10.2024;13.05.2024;17.10.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643824898;{coordinates=[[[37.574894428, 55.84794862], [37.575130463, 55.847779974], [37.575334311, 55.847063219], [37.575945854, 55.845105626], [37.576224804, 55.844334609], [37.576246262, 55.844190041], [37.579615116, 55.840322663], [37.580108643, 55.83974433], [37.580291033, 55.83935877]]], type=MultiLineString};{coordinates=[37.576246262, 55.844190041], type=Point}
Старое Пятницкое Шоссе;2024;да;Северо-Западный административный округ;район Митино;15.04.2024;31.10.2024;16.04.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643824904;{coordinates=[[[37.341896296, 55.86630261], [37.345372438, 55.863924547], [37.345812321, 55.863527185], [37.346209288, 55.863099716], [37.346498966, 55.862828783], [37.347614765, 55.861648695], [37.347700596, 55.861522254]], [[37.347539663, 55.861456024], [37.34738946, 55.861751051], [37.346692085, 55.862467535], [37.346059084, 55.863123799], [37.345350981, 55.863816176], [37.344814539, 55.864201493], [37.341821194, 55.866230367]]], type=MultiLineString};{coordinates=[37.344814539, 55.864201493], type=Point}
Сосновая аллея;2024;да;Северо-Западный административный округ;район Покровское-Стрешнево;15.04.2024;31.10.2024;07.05.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643824947;{coordinates=[[[37.46178031, 55.817369507], [37.464033365, 55.819732337], [37.464247942, 55.819870968], [37.464537621, 55.820039735], [37.466243505, 55.820744934]]], type=MultiLineString};{coordinates=[37.464033365, 55.819732337], type=Point}
Соловьиная Роща улица;2024;да;Северо-Западный административный округ;район Куркино;15.04.2024;30.11.2024;07.05.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643824963;{coordinates=[[[37.396693826, 55.898177164], [37.397884727, 55.895990546], [37.398871779, 55.894089561], [37.398941517, 55.89388502], [37.399177551, 55.892579536], [37.399526238, 55.890633261], [37.399553061, 55.890488866], [37.399617434, 55.890094785], [37.399638891, 55.888506386], [37.399671078, 55.888127326]], [[37.399633527, 55.888482319], [37.399536967, 55.888364991], [37.399440408, 55.888307831], [37.399199009, 55.888256688]], [[37.399671078, 55.888006989], [37.399687171, 55.886857751], [37.399676442, 55.88653283], [37.399569154, 55.885169935]]], type=MultiLineString};{coordinates=[37.399177551, 55.892579536], type=Point}
Соколово-Мещерская улица;2024;да;Северо-Западный административный округ;район Куркино;15.04.2024;30.11.2024;18.04.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825009;{coordinates=[[[37.38960743, 55.907777877], [37.388266325, 55.907224603], [37.389199734, 55.907230617], [37.389457226, 55.907224603], [37.389553785, 55.907170478]], [[37.388287783, 55.907224603], [37.386935949, 55.906701392], [37.386313677, 55.906346566], [37.386013269, 55.906069921], [37.385766506, 55.905799287], [37.385584116, 55.905426411], [37.385541201, 55.905077588], [37.385519743, 55.904644562], [37.385380268, 55.902737987], [37.385466099, 55.90237711], [37.385594845, 55.902160583], [37.385863066, 55.901835789], [37.386131287, 55.901444831], [37.388556004, 55.898052346], [37.388652563, 55.897865872], [37.388716936, 55.897697442], [37.388609648, 55.896632708], [37.388523817, 55.896313884], [37.387901545, 55.89522505], [37.386871576, 55.893582717]]], type=MultiLineString};{coordinates=[37.386131287, 55.901444831], type=Point}
Саломеи Нерис улица;2024;да;Северо-Западный административный округ;[район Митино, район Северное Тушино, район Южное Тушино];15.04.2024;31.10.2024;25.04.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825050;{coordinates=[[[37.390551567, 55.851574341], [37.393512726, 55.85179115], [37.394199371, 55.851809218], [37.394918203, 55.851797173], [37.396087646, 55.851682746], [37.398211956, 55.85135753], [37.400679588, 55.850978108], [37.40177393, 55.850820014], [37.402251363, 55.850690527], [37.402653694, 55.850573085], [37.402777076, 55.850545983], [37.402535677, 55.850603199], [37.402406931, 55.850642346], [37.402594686, 55.850473711]], [[37.402605414, 55.850579108], [37.402637601, 55.850473711]]], type=MultiLineString};{coordinates=[37.396087646, 55.851682746], type=Point}
Родионовская улица;2024;да;Северо-Западный административный округ;район Куркино;15.04.2024;31.10.2024;07.05.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825069;{coordinates=[[[37.386935949, 55.893558653], [37.398844957, 55.893871484]], [[37.39900589, 55.89388502], [37.399595976, 55.893927131], [37.40162909, 55.893999322], [37.401881218, 55.894098585], [37.401945591, 55.894218903]], [[37.401645184, 55.893993307], [37.401977777, 55.893960219], [37.402213812, 55.89388502]]], type=MultiLineString};{coordinates=[37.399595976, 55.893927131], type=Point}
Развязка МКАД-Пятницкое шоссе;2024;да;Северо-Западный административный округ;район Митино;15.04.2024;31.10.2024;03.05.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825161;{coordinates=[[[37.384650707, 55.83581626], [37.387225628, 55.834569074], [37.38766551, 55.834291917], [37.387923002, 55.834044883], [37.387976646, 55.833803873], [37.3878479, 55.83361709], [37.387611866, 55.83352671], [37.387343645, 55.833490558], [37.387096882, 55.83351466], [37.386871576, 55.83362914], [37.386775017, 55.833749646], [37.386732101, 55.833876177], [37.386775017, 55.834032833], [37.386817932, 55.83424974], [37.386710644, 55.834472672], [37.386431694, 55.834671502], [37.385745049, 55.834996857], [37.385262251, 55.83523786], [37.384972572, 55.835400536], [37.384790182, 55.835593336], [37.384479046, 55.835725885], [37.384747267, 55.835328235], [37.385197878, 55.835099284], [37.385444641, 55.834972757], [37.38591671, 55.834912506], [37.38545537, 55.834972757]], [[37.38720417, 55.833508634], [37.387644053, 55.833436331], [37.388030291, 55.833490558], [37.389886379, 55.833972581], [37.390723228, 55.834159362], [37.391388416, 55.834267816], [37.391935587, 55.834346143], [37.392300367, 55.834346143], [37.394510508, 55.834117186], [37.395164967, 55.834032833]], [[37.388738394, 55.834105136], [37.388706207, 55.83422564], [37.388834953, 55.834382295], [37.388974428, 55.834466647], [37.389124632, 55.834508823], [37.389285564, 55.834514848], [37.389532328, 55.834490748], [37.389714718, 55.834406395], [37.389822006, 55.834297942], [37.389843464, 55.834213589], [37.38978982, 55.834117186], [37.389725447, 55.833990656], [37.389178276, 55.83384605], [37.388641834, 55.833791823], [37.388255596, 55.833797848], [37.387912273, 55.834026808]], [[37.389746904, 55.834014757], [37.391324043, 55.834309992], [37.391602993, 55.834346143]], [[37.38812685, 55.83518966], [37.388502359, 55.834948657], [37.389006615, 55.834767904], [37.389618158, 55.834623301], [37.390315533, 55.834424471], [37.390701771, 55.834364219], [37.391184568, 55.834358194], [37.391624451, 55.834370244], [37.391860485, 55.834364219]], [[37.391109467, 55.834358194], [37.39117384, 55.834309992]]], type=MultiLineString};{coordinates=[37.388834953, 55.834382295], type=Point}
Харьковский проезд, вл. 2А (въезд на АЗС, проезд вдоль МГСА №57, проезд к 9-му таксомоторному парку);2024;да;Южный административный округ;район Бирюлёво Западное;15.04.2024;31.10.2024;17.04.2024;30.08.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825185;{coordinates=[[[37.646707892, 55.597736576], [37.646707892, 55.597739607], [37.646997571, 55.597891151], [37.648660541, 55.597157671], [37.649835348, 55.597642618], [37.649883628, 55.597751731], [37.649878263, 55.59781841], [37.649577856, 55.598363966]], [[37.648322582, 55.598212424], [37.648435235, 55.598133621], [37.648885846, 55.597703236], [37.649154067, 55.597354682]]], type=MultiLineString};{coordinates=[37.648885846, 55.597703236], type=Point}
Разворотный круг на улице Маршала Катукова;2024;да;Северо-Западный административный округ;район Строгино;15.04.2024;31.10.2024;07.05.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825197;{coordinates=[[[37.409992218, 55.805782331], [37.41006732, 55.805492909], [37.410142422, 55.805318049], [37.410356998, 55.805191426], [37.410593033, 55.805155247], [37.410743237, 55.805155247], [37.411043644, 55.805251723], [37.411333323, 55.805336138], [37.411483526, 55.805426583], [37.411569357, 55.805547176], [37.411569357, 55.805667769], [37.411494255, 55.805752183], [37.410668135, 55.806017485], [37.410389185, 55.805993367], [37.410120964, 55.805939101], [37.410002947, 55.805764243]]], type=MultiLineString};{coordinates=[37.410668135, 55.806017485], type=Point}
Пятницкое шоссе, 54 к.2 (дорога от Пятницкого шоссе к базовой площадке ООО «Дельта-МК»);2024;да;Северо-Западный административный округ;район Митино;15.04.2024;31.10.2024;29.04.2024;20.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825226;{coordinates=[[[37.351380587, 55.858380687], [37.352362275, 55.858738962], [37.352474928, 55.858766058], [37.353075743, 55.859076159], [37.354851365, 55.860144933]], [[37.354824543, 55.860129881], [37.355709672, 55.859717427], [37.355757952, 55.859654204], [37.355747223, 55.859618076]], [[37.35485673, 55.860153965], [37.354915738, 55.860202135], [37.354921103, 55.860253315], [37.354910374, 55.860307505]], [[37.354905009, 55.860313526], [37.353526354, 55.861171531], [37.353805304, 55.860999932], [37.353794575, 55.861213679], [37.353853583, 55.861270878], [37.354652882, 55.861532791], [37.354738712, 55.861538812]]], type=MultiLineString};{coordinates=[37.353805304, 55.860999932], type=Point}
Аэрофлотская улица;2024;да;Западный административный округ;район Внуково;15.04.2024;31.10.2024;04.05.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825263;{coordinates=[[[37.289453745, 55.610341555], [37.293627262, 55.612619988]]], type=MultiLineString};{coordinates=[37.289453745, 55.610341555], type=Point}
Проезды через Химкинский бульвар;2024;да;Северо-Западный административный округ;район Северное Тушино;15.04.2024;31.10.2024;29.06.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825299;{coordinates=[[[37.442806363, 55.85184987], [37.443085313, 55.851054896]], [[37.445139885, 55.852087756], [37.445155978, 55.852018498], [37.446175218, 55.851383126], [37.446126938, 55.851422272], [37.446223497, 55.8515367], [37.447242737, 55.852325642], [37.445150614, 55.852099801], [37.442800999, 55.851843847]], [[37.447242737, 55.852325642], [37.447784543, 55.852388877], [37.447934747, 55.852355754], [37.448111773, 55.852376832]]], type=MultiLineString};{coordinates=[37.445155978, 55.852018498], type=Point}
проезд от улицы Маршала Катукова до МКАД;2024;да;Северо-Западный административный округ;район Строгино;15.04.2024;31.10.2024;05.05.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825353;{coordinates=[[[37.390717864, 55.815445081], [37.391479611, 55.8144866], [37.391785383, 55.814164087], [37.39199996, 55.81395611], [37.392316461, 55.813787316], [37.392809987, 55.813669763]], [[37.391447425, 55.814528798], [37.391184568, 55.814694574], [37.391045094, 55.814754857], [37.390905619, 55.81477897]], [[37.390460372, 55.814697589], [37.390691042, 55.814763899], [37.390809059, 55.814784998], [37.390905619, 55.814781984]]], type=MultiLineString};{coordinates=[37.391479611, 55.8144866], type=Point}
Проезд от улицы Габричевского до ГАИ;2024;да;Северо-Западный административный округ;район Покровское-Стрешнево;15.04.2024;31.10.2024;28.04.2024;20.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825380;{coordinates=[[[37.451051474, 55.813023213], [37.451384068, 55.812884558], [37.451856136, 55.812528875], [37.452263832, 55.812281703], [37.452725172, 55.812004386], [37.453186512, 55.811799412], [37.45357275, 55.81167281], [37.453894615, 55.811594437], [37.454227209, 55.811510035], [37.45449543, 55.811491948], [37.454785109, 55.811510035], [37.454935312, 55.811570322], [37.452939749, 55.812088787]], [[37.45246768, 55.812185245], [37.452532053, 55.812197302], [37.453004122, 55.81207673]], [[37.45283246, 55.811962186], [37.45292902, 55.812088787]], [[37.45431304, 55.811522092], [37.454484701, 55.811696924]]], type=MultiLineString};{coordinates=[37.453186512, 55.811799412], type=Point}
Проезд от Неманского проезда до АЗС;2024;да;Северо-Западный административный округ;район Строгино;15.04.2024;31.10.2024;05.05.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825593;{coordinates=[[[37.389478683, 55.804799493], [37.390401363, 55.806662644]]], type=MultiLineString};{coordinates=[37.389478683, 55.804799493], type=Point}
Проезд от 2-й Лыковской улицы к ТСЖ «Сосновый бор» (д.65 корп.1-46);2024;да;Северо-Западный административный округ;район Строгино;15.04.2024;31.10.2024;05.05.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825612;{coordinates=[[[37.395755053, 55.784908275], [37.395486832, 55.784926374], [37.395175695, 55.784962571], [37.394778728, 55.785034965], [37.39439249, 55.78508926], [37.394199371, 55.785095293], [37.394016981, 55.785040997], [37.393877506, 55.784938439], [37.393802404, 55.784847947], [37.393641472, 55.784612665], [37.392128706, 55.782404567], [37.392010689, 55.782229603], [37.391914129, 55.782036539], [37.391860485, 55.781897773], [37.39181757, 55.78178314], [37.391806841, 55.78171074], [37.391678095, 55.781626273], [37.391474247, 55.781608173], [37.388609648, 55.78181934], [37.388427258, 55.78183744]], [[37.388475537, 55.781832915], [37.388325334, 55.781793698], [37.388260961, 55.781715265], [37.38822341, 55.781570465], [37.38822341, 55.781389464], [37.38822341, 55.781223545], [37.388303876, 55.781057626], [37.388496995, 55.780852489], [37.388609648, 55.780653384], [37.388641834, 55.780535731]]], type=MultiLineString};{coordinates=[37.392128706, 55.782404567], type=Point}
Проезд Маршала Бирюзова ул. - Маршала Рыбалко ул.;2024;да;Северо-Западный административный округ;район Щукино;15.04.2024;31.10.2024;07.05.2024;26.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825620;{coordinates=[[[37.484815121, 55.798087795], [37.485759258, 55.799004466]]], type=MultiLineString};{coordinates=[37.485759258, 55.799004466], type=Point}
Проезд Авиационная ул. - Щукинская ул.;2024;да;Северо-Западный административный округ;район Щукино;15.04.2024;31.10.2024;11.04.2024;25.05.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825637;{coordinates=[[[37.469553351, 55.810167115], [37.469762564, 55.808454862]]], type=MultiLineString};{coordinates=[37.469553351, 55.810167115], type=Point}
Пр-д вдоль д.47 по б-ру Яна Райниса от Светлогорского пр-да до троллеб. круга;2024;да;Северо-Западный административный округ;район Южное Тушино;15.04.2024;31.10.2024;11.04.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825668;{coordinates=[[[37.404708266, 55.849242054], [37.403710485, 55.847727272]], [[37.404230833, 55.848519302], [37.403951883, 55.848531348], [37.403780222, 55.848537371], [37.403565645, 55.848531348], [37.403490543, 55.848525325]]], type=MultiLineString};{coordinates=[37.403951883, 55.848531348], type=Point}
Подъездная дорога до Захарьинской улицы;2024;да;Северо-Западный административный округ;район Куркино;15.04.2024;31.10.2024;09.07.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825680;{coordinates=[[[37.381335497, 55.891267992], [37.384607792, 55.890747574]]], type=MultiLineString};{coordinates=[37.381335497, 55.891267992], type=Point}
Подъезд к Митинскому кладбищу;2024;нет;;;15.04.2024;31.10.2024;23.05.2024;11.06.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825710;{coordinates=[[[37.342185974, 55.866338731], [37.347142696, 55.870468384], [37.347271442, 55.870618873], [37.347282171, 55.870715186], [37.347228527, 55.870829557], [37.347067595, 55.870883733], [37.346810102, 55.870889752], [37.346498966, 55.870889752], [37.345930338, 55.870889752], [37.34572649, 55.870889752], [37.3455441, 55.870895772], [37.345243692, 55.870949947], [37.3449862, 55.871076357], [37.344632149, 55.871208785], [37.344278097, 55.871359272]], [[37.346177101, 55.870877713], [37.346155643, 55.869944677], [37.346101999, 55.869746027], [37.346016169, 55.869589515], [37.345973253, 55.869517278]]], type=MultiLineString};{coordinates=[37.346016169, 55.869589515], type=Point}
площадь Академика Курчатова;2024;да;Северо-Западный административный округ;район Щукино;15.04.2024;31.10.2024;28.04.2024;20.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825730;{coordinates=[[[37.475491762, 55.802779472], [37.475609779, 55.802815653], [37.475985289, 55.802815653], [37.476682663, 55.802839773], [37.47689724, 55.802749322], [37.476940155, 55.80258651], [37.476940155, 55.802405606], [37.476907969, 55.802236762], [37.476843596, 55.802098069], [37.476725578, 55.802043797], [37.476511002, 55.802007616], [37.476264238, 55.802001586], [37.476038933, 55.802001586], [37.475856543, 55.802001586], [37.475684881, 55.802043797], [37.47551322, 55.802116159], [37.475459576, 55.802278973], [37.47541666, 55.802435757], [37.47541666, 55.80258651], [37.475438118, 55.802743292]], [[37.475448847, 55.802319677], [37.475427389, 55.802141787], [37.475379109, 55.802024199], [37.475298643, 55.801969927], [37.475223541, 55.801924701], [37.475143075, 55.801972942], [37.475067973, 55.802871431]]], type=MultiLineString};{coordinates=[37.475856543, 55.802001586], type=Point}
Парусный проезд;2024;да;Северо-Западный административный округ;район Южное Тушино;15.04.2024;31.10.2024;25.04.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825770;{coordinates=[[[37.446556091, 55.846756034], [37.453122139, 55.847466772]]], type=MultiLineString};{coordinates=[37.446556091, 55.846756034], type=Point}
Одинцовская улица;2024;да;Северо-Западный административный округ;район Строгино;15.04.2024;30.11.2024;;;текущий ремонт асфальтобетонного покрытия;не начаты;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825789;{coordinates=[[[37.408457994, 55.79299747], [37.40803957, 55.79291906], [37.407363653, 55.792774301], [37.40647316, 55.792454624], [37.405968904, 55.792147008], [37.404230833, 55.790789848]], [[37.404209375, 55.790783816], [37.40398407, 55.790868263], [37.403941154, 55.790958741], [37.403962612, 55.791260335], [37.404359579, 55.791803198], [37.405056953, 55.792641605], [37.405207157, 55.792828586]], [[37.404241562, 55.790789848], [37.404059172, 55.790590794], [37.403951883, 55.790355547], [37.403683662, 55.789794567], [37.403351068, 55.789112936], [37.402879, 55.78863639], [37.401334047, 55.786893028], [37.400722504, 55.786253575], [37.400143147, 55.785626176], [37.399220467, 55.785083227]]], type=MultiLineString};{coordinates=[37.403683662, 55.789794567], type=Point}
Новощукинская улица;2024;да;Северо-Западный административный округ;район Щукино;15.04.2024;31.10.2024;05.05.2024;30.09.2024;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825801;{coordinates=[[[37.449710369, 55.805492909], [37.45283246, 55.805667769], [37.454227209, 55.805782331], [37.455042601, 55.805848657], [37.456276417, 55.806107929], [37.457596064, 55.80659029], [37.458068132, 55.806915881], [37.460353374, 55.808797017]], [[37.460514307, 55.808664376], [37.458636761, 55.807090734], [37.458207607, 55.806765145], [37.457821369, 55.806481759], [37.45698452, 55.806144106], [37.456094027, 55.805896894], [37.455192804, 55.805703946], [37.454259396, 55.805589384], [37.452843189, 55.805498939], [37.451255322, 55.805402464], [37.449764013, 55.805342168]]], type=MultiLineString};{coordinates=[37.455042601, 55.805848657], type=Point}
Неманский проезд;2024;да;Северо-Западный административный округ;район Строгино;15.04.2024;30.11.2024;22.08.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643825823;{coordinates=[[[37.394285202, 55.818436415], [37.393684387, 55.816543688], [37.392718792, 55.813228181], [37.391602993, 55.809635058], [37.391066551, 55.808091602], [37.390637398, 55.807187204], [37.390229702, 55.806258667]]], type=MultiLineString};{coordinates=[37.392718792, 55.813228181], type=Point}
Муравская улица;2024;да;Северо-Западный административный округ;район Митино;15.04.2024;30.11.2024;20.08.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826160;{coordinates=[[[37.365920447, 55.864134321], [37.364921031, 55.864071306]], [[37.365061398, 55.864077608], [37.365111931, 55.864017744], [37.365078242, 55.863961031], [37.365016481, 55.86391692], [37.364898572, 55.863869659], [37.364690828, 55.863847604], [37.364528002, 55.863816096], [37.364904187, 55.864080759]], [[37.364539231, 55.863819247], [37.363141171, 55.862861405], [37.360277674, 55.860715629], [37.357139056, 55.858377511], [37.356425989, 55.857832351], [37.356218245, 55.857627519], [37.356049804, 55.857400628], [37.355797143, 55.856805033], [37.355740996, 55.856534018], [37.355606243, 55.856319726], [37.355527637, 55.856253547]], [[37.362511754, 55.86239679], [37.362699509, 55.862405822], [37.363042831, 55.862484092], [37.363203764, 55.862565373], [37.363257408, 55.86261354], [37.362930179, 55.862703852]]], type=MultiLineString};{coordinates=[37.360277674, 55.860715629], type=Point}
Муравская 2-я ул.;2024;да;Северо-Западный административный округ;район Митино;15.04.2024;30.11.2024;20.08.2024;;текущий ремонт асфальтобетонного покрытия;идут;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;;;2643826168;{coordinates=[[[37.363965511, 55.863340545], [37.365295887, 55.863202068], [37.365499735, 55.863196048], [37.365971804, 55.863220131], [37.366218567, 55.863244213], [37.366873026, 55.863232172], [37.367323637, 55.863244213], [37.36784935, 55.863262275], [37.36858964, 55.863292379], [37.369426489, 55.863322482], [37.369683981, 55.863322482], [37.369769812, 55.863184006], [37.369812727, 55.862979302], [37.369683981, 55.862768575], [37.369576693, 55.862581931]], [[37.367656231, 55.863232172], [37.367688417, 55.862895011], [37.36766696, 55.862612035]]], type=MultiLineString};{coordinates=[37.367323637, 55.863244213], type=Point}
